id_commune,nom_commune,arrondissement,adm2_pcode,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,cluster_kmeans,cluster_cha,niveau_iift
C-042,Pignon,Saint-Raphaël,HT0344,1.027949579983723,1.6716691833884008,0.2974377340866616,-1.3933229359908967,0.2673075585558541,0.3800307175211347,2,1,IIFT_Moyen
C-043,La Victoire,Saint-Raphaël,HT0345,-0.3071646097989434,3.627961090928204,-2.1070716002337133,-1.0631578983645096,-1.696099896810414,1.0266181453117111,2,1,IIFT_Moyen
C-044,Borgne,Borgne,HT0351,-3.373333222014583,-0.7085122659207539,-0.8342836095104267,1.1832277128107882,0.1366303863205576,0.4690014187050065,0,2,IIFT_Très_faible
C-045,Port-Margot,Borgne,HT0352,0.8430564025571491,0.5082394001137397,-0.3848827038670459,0.2397845584868501,-0.9472142251652002,0.0711809691144012,2,1,IIFT_Moyen
C-046,Limbé,Limbé,HT0361,2.1686895959473813,0.7810176900482909,-0.8893379117299771,0.4999995885120089,1.9199305511098064,0.9176342509504712,2,1,IIFT_Moyen
C-047,Bas-Limbé,Limbé,HT0362,-1.253790983712406,2.5324775776655746,-1.7102320118449013,0.6866723574915223,0.9800383092051942,0.0843507982908773,2,1,IIFT_Moyen
C-048,Plaisance,Plaisance,HT0371,0.7302648074950117,2.3116349185084184,-0.4412272645644752,1.4232232745790474,-0.6043089498117629,-0.7286822725940442,2,1,IIFT_Moyen
C-049,Pilate,Plaisance,HT0372,-0.6890830027539272,-0.9221586683804648,-0.3171854254418474,0.4539766726840144,-0.7205020467857265,1.0822521656615045,0,2,IIFT_Très_faible
C-050,Fort-Liberté,Fort-Liberté,HT0411,2.80194366276062,2.3626721733938614,1.229658831608359,-0.0506863991566269,-1.8780561361993824,0.3245910186607831,2,1,IIFT_Moyen
C-051,Ferrier,Fort-Liberté,HT0412,-0.5871121600367035,3.20794768013016,0.1690987801385089,0.775597112569913,-1.2544825430516684,-0.4002268292147,2,1,IIFT_Moyen
C-052,Perches,Fort-Liberté,HT0413,0.0734586182078735,3.425251982519284,-1.4313999557103063,0.3653432007821999,-2.4459471602096143,-0.4603243536165423,2,1,IIFT_Moyen
C-053,Ouanaminthe,Ouanaminthe,HT0421,3.346316518715791,1.4501491304253895,-0.1605965195076466,1.3101570197044208,-0.0846097413460097,0.3662164893216046,2,0,IIFT_Moyen
C-054,Capotille,Ouanaminthe,HT0422,-3.477910373961113,-0.1061401525114655,-1.7649795540283355,-0.1033164055330091,0.7878989989530338,0.7087694640914084,0,2,IIFT_Très_faible
C-055,Mont-Organisé,Ouanaminthe,HT0423,-1.9877964886603907,-0.5596911575416762,-1.0524093110609092,-0.970527717603768,-0.1570282213599616,-0.3027772295702369,0,2,IIFT_Très_faible
C-056,Trou-du-Nord,Trou-du-Nord,HT0431,2.266099630731968,3.087876173766964,0.1720128146877712,-0.1291326585091113,0.4188686392102296,0.6549262242551638,2,1,IIFT_Moyen
C-057,Sainte-Suzanne,Trou-du-Nord,HT0432,-3.219491072809078,0.0211127279576395,-0.8339630737229761,-0.4982689366436311,-0.6893306457081819,-1.3343184910530173,0,2,IIFT_Très_faible
C-058,Terrier-Rouge,Trou-du-Nord,HT0433,0.4358024924528078,2.910462109606217,0.6818173852585413,-1.165766924327598,0.6597389591569213,0.243816377331577,2,1,IIFT_Moyen
C-059,Caracol,Trou-du-Nord,HT0434,0.119189120747908,2.4592827891513296,-0.4203069994487692,-2.5729207634592006,-1.6874436891853222,-0.7066445917576875,2,1,IIFT_Moyen
C-060,Vallières,Vallières,HT0441,-3.253305213557368,-0.0219606679984463,-0.6358770951479348,-0.0546052776004609,0.3663719849660071,0.155957672204554,0,2,IIFT_Très_faible
C-061,Carice,Vallières,HT0442,-1.352750944755307,2.15467187516111,-0.5245542038655937,1.0439125933407258,-0.1540845213963387,-0.0336917739670727,2,1,IIFT_Moyen
C-062,Mombin-Crochu,Vallières,HT0443,-2.7211589399929057,-1.046868626387744,0.6907057997416808,1.9806195091158876,0.6530307643978297,0.3580129900221266,0,2,IIFT_Très_faible
C-063,Gonaïves,Gonaïves,HT0511,7.440712638176983,-0.9623852986909336,0.308364538854587,-1.207454925593866,-0.1259647991791472,1.30516784669974,1,0,IIFT_Extrême
C-064,Ennery,Gonaïves,HT0512,-2.455497462786787,-0.7347100173645266,0.6687060995063626,-1.3730346039681194,1.0467064613062709,0.388230903429984,0,2,IIFT_Très_faible
C-065,Estère,Gonaïves,HT0513,0.9173487089817072,2.4693789156192456,1.236814253697145,-1.7080380786148557,-0.8259775783619706,-1.3682745546895718,2,1,IIFT_Moyen
C-066,Gros-Morne,Gros-Morne,HT0521,-0.0803716702641944,-2.508092574078161,1.559885126396361,2.0316370458288517,0.6939078461685158,0.5774469973234985,0,2,IIFT_Très_faible
C-067,Terre-Neuve,Gros-Morne,HT0522,-3.0603443342431462,0.0053813485594812,-0.0124458867064178,-0.754805185495243,-0.8991402537982572,0.5519862026173314,0,2,IIFT_Très_faible
C-068,Anse-Rouge,Gros-Morne,HT0523,-0.6895110436988673,0.9548174971666812,2.082692017581373,-0.6218372237800541,1.899317531447163,0.0727077517057659,2,1,IIFT_Moyen
C-069,Saint-Marc,Saint-Marc,HT0531,6.727621854220758,-0.6968245139992993,1.9506875196434497,-0.3181306357622957,1.1409771484929818,1.9675856425947709,1,0,IIFT_Extrême
C-070,Verrettes,Saint-Marc,HT0532,1.6819376236114063,1.0978440903145112,2.116753136476349,1.3340610798124588,1.0171184261346593,-0.5941069090505949,2,1,IIFT_Moyen
C-071,La Chapelle,Saint-Marc,HT0533,-2.605191585858835,-0.5013386959488035,0.2508897851905488,-0.4394890882510625,0.8659151076221052,-1.2595653179360793,0,2,IIFT_Très_faible
C-072,Dessalines,Dessalines,HT0541,-0.7888237652253125,-3.786778030089304,1.302136427018904,-0.7873651681290903,-0.3620288119690797,-2.014048382005377,0,2,IIFT_Très_faible
C-073,Petite-Rivière-de-l'Artibonite,Dessalines,HT0542,1.5334472069274088,-0.0070142709101303,2.52770443798498,0.5487345872079397,0.7538132011774595,-0.4215096276035528,2,1,IIFT_Moyen
C-074,Grande-Saline,Dessalines,HT0543,-3.4312709224880478,-0.2568015049025193,-1.5274386795332695,0.3130271369440922,-0.5622844254831421,-1.1521945832450402,0,2,IIFT_Très_faible
C-075,Desdunes,Dessalines,HT0544,1.0828140964930066,2.013635017535063,0.4737344873778283,-1.4414013169245914,0.8685527865639205,-1.8618907724757496,2,1,IIFT_Moyen
C-076,Saint-Michel-de-l'Attalaye,Marmelade,HT0551,-0.097703740531999,-2.8711300442478787,1.6205179212347067,-0.5089458068184698,-0.2428010758911669,-0.118865498912811,0,2,IIFT_Très_faible
C-077,Marmelade,Marmelade,HT0552,-1.7822513761059966,-0.4425355788383422,-0.6734731407508674,1.809658546796302,-0.4214686099881493,0.7082210906663551,0,2,IIFT_Très_faible
C-078,Hinche,Hinche,HT0611,4.696995304977741,0.2197000594161113,2.3130426064209217,0.5354229495631996,-0.089088665082275,1.44586269205883,1,0,IIFT_Extrême
C-079,Maïssade,Hinche,HT0612,-1.022302111557964,-1.4043411556403251,1.3070828640542786,1.4220388412775344,-0.0138539071969375,-0.9962312682614872,0,2,IIFT_Très_faible
C-080,Thomonde,Hinche,HT0613,-0.8927820419107344,-2.2513300511841035,1.485081396090216,1.4857317381605315,-0.1422042978220084,0.1287051437682902,0,2,IIFT_Très_faible
C-081,Cerca-Carvajal,Hinche,HT0614,-2.8068065240783207,-0.6228703857537776,-0.728587807449486,0.6050073525671756,-0.6469207728710138,0.6426199647387145,0,2,IIFT_Très_faible
C-082,Mirebalais,Mirebalais,HT0621,1.6742734444477398,-3.604788327718799,1.5214069077334973,-1.209517149354669,-0.697917075497566,0.1793308058692749,0,2,IIFT_Très_faible
C-083,Saut-d'Eau,Mirebalais,HT0622,-1.165436478639177,-1.1826512957438204,0.7326234187482786,0.738941792341942,-2.0152225070242245,-0.9600975551314204,0,2,IIFT_Très_faible
C-084,Boucan-Carré,Mirebalais,HT0623,-2.4305147918106864,-1.9180341441601745,1.5673037197291426,0.675310893244807,1.3249291031111083,-1.4939858566161055,0,2,IIFT_Très_faible
C-085,Lascahobas,Lascahobas,HT0631,-0.4965572406302222,-2.0867972737963054,0.7850513211022189,2.040096196956836,-2.207046331952588,0.616050139162916,0,2,IIFT_Très_faible
C-086,Belladère,Lascahobas,HT0632,-1.4874514472342424,-0.5941787956047083,0.4988736540030037,-0.1368827059374219,1.8573943315682493,1.0926197391276988,0,2,IIFT_Très_faible
C-087,Savanette,Lascahobas,HT0633,-2.512565365004775,-0.8290642363150383,0.8566424772073508,0.9898294811493196,1.1160029630367123,-0.4784992594582321,0,2,IIFT_Très_faible
C-088,Cerca-la-Source,Cerca-la-Source,HT0641,-2.6354400551496333,-0.8138122871136059,0.3143598799363895,0.1498819743900014,0.4947457519493947,1.4542963122623904,0,2,IIFT_Très_faible
C-089,Thomassique,Cerca-la-Source,HT0642,-1.3328456423061654,-1.0936506587716406,0.365870354319034,-0.2114599916104849,1.1961116299527947,0.8017686010108804,0,2,IIFT_Très_faible
C-090,Les Cayes,Les Cayes,HT0711,7.217309103822011,-0.0283391182981482,0.409156745751303,0.3225913448521044,-0.6865730146014599,1.6117266396107863,1,0,IIFT_Extrême
C-091,Torbeck,Les Cayes,HT0712,-2.243032896033753,-1.5301463589878777,-0.0131532716871431,1.3937884823556652,1.894585339958164,-0.1447112182550129,0,2,IIFT_Très_faible
C-092,Chantal,Les Cayes,HT0713,-2.784246952530694,0.2364204244720984,-0.154013175448847,1.2035548177415123,0.676163598620804,-1.4604787582858805,0,2,IIFT_Très_faible
C-093,Camp-Perrin,Les Cayes,HT0714,-0.3070154208633427,-1.54443695645354,0.0182239519221042,0.796070838983342,-1.787990522595476,0.9788351504308028,0,2,IIFT_Très_faible
C-094,Maniche,Les Cayes,HT0715,-2.575312950011037,0.01112371233043,-0.0166050672402364,0.5615609974449114,-2.330680511656616,-0.4274125021659573,0,2,IIFT_Très_faible
C-095,Île-à-Vache,Les Cayes,HT0716,-3.149895973564464,-0.4240135968978366,-2.7764863650334606,0.4137260475536247,-0.8391062203125852,0.6684701687559665,0,2,IIFT_Très_faible
C-096,Port-Salut,Port-Salut,HT0721,-1.203583419547526,-0.4601602116675765,-1.1220782190678908,-0.8209195395894723,0.0910279343739099,0.2676980915142313,0,2,IIFT_Très_faible
C-097,Saint-Jean-du-Sud,Port-Salut,HT0722,-2.3965511893170044,-0.1285171943770734,-1.2237988437422482,-1.278666444915278,1.573043666721424,0.7696270733610505,0,2,IIFT_Très_faible
C-098,Arniquet,Port-Salut,HT0723,-3.3821408981488528,-0.4883673344213852,-1.1066945503257444,2.217006924953496,1.3277614480627,0.569042561471875,0,2,IIFT_Très_faible
C-099,Aquin,Aquin,HT0731,0.4796640658660812,-2.7656198084844306,2.2440334997015228,-1.28239583134834,0.1504491632727834,-0.6608436686331217,0,2,IIFT_Très_faible
C-100,Saint-Louis-du-Sud,Aquin,HT0732,-1.7891124922327386,-2.13496041416643,-0.2318003093528612,-0.2122957134020191,0.0086491378988326,1.9718337944983344,0,2,IIFT_Très_faible
C-101,Cavaillon,Aquin,HT0733,-2.05816965123424,-2.128214708757884,1.044170627958234,0.4013421577445542,-0.3099816529825885,-0.0262382608974948,0,2,IIFT_Très_faible
C-102,Côteaux,Côteaux,HT0741,0.364180561324205,2.24786226513994,-0.2724778576464164,-0.2633939401193484,-0.9755278006653966,0.1296264531139847,2,1,IIFT_Moyen
C-103,Port-à-Piment,Côteaux,HT0742,-0.0943891169965287,2.5912346561423747,-0.7013053515519078,1.3167719196985137,1.1955983233169325,0.5210392022122206,2,1,IIFT_Moyen
C-104,Roche-à-Bateau,Côteaux,HT0743,-2.785916390601947,-0.8140481877838347,-2.358941870014902,-1.4117084531610915,0.6694309144590449,1.6707296880296176,0,2,IIFT_Très_faible
C-105,Chardonnières,Chardonnières,HT0751,0.0113470210300816,2.0597189091419703,-0.5093940103292564,-0.4573940813142925,-1.853388100799204,-0.4367393477199525,2,1,IIFT_Moyen
C-106,Les Anglais,Chardonnières,HT0752,-1.58057770322239,1.950856323881033,-0.7866222039625546,1.347271422200922,1.029451699747655,1.3884254850642577,2,1,IIFT_Moyen
C-107,Tiburon,Chardonnières,HT0753,-1.206538374803361,3.166748452916057,-0.1355578029228292,-0.2518820096523519,0.6638810448578725,0.7850781396479658,2,1,IIFT_Moyen
C-108,Jérémie,Jérémie,HT0811,4.4094868089188015,0.9026046507158738,1.6451294641820624,0.4949339344486896,0.6337340470697782,0.8774993751902938,1,0,IIFT_Extrême
C-109,Abricots,Jérémie,HT0812,-2.764309671832689,-1.1549132127400237,-0.9024316476282028,2.011305405972132,-1.2987556253701134,0.6427539394396876,0,2,IIFT_Très_faible
C-110,Bonbon,Jérémie,HT0813,-3.8121410499886856,-0.4952538337862865,-2.224560485846236,-0.3069847423195447,0.0886452628680636,-0.9873557756588146,0,2,IIFT_Très_faible
C-111,Moron,Jérémie,HT0814,-3.440945138757032,-0.8372871001438753,-0.1462989206476475,0.1693037181748254,1.6866865933525907,1.3567185548832066,0,2,IIFT_Très_faible
C-112,Chambellan,Jérémie,HT0815,-3.0791278081714237,-1.0385135863224926,-1.6911076990960128,-1.1141461553990444,1.0894263970221765,2.090159338256078,0,2,IIFT_Très_faible
C-113,Anse-d'Hainault,Anse-d'Hainault,HT0821,1.1145482612233235,1.676777952823129,-0.7273659167446054,-1.5871375926552012,-0.2498668054912455,2.3603005160384325,2,1,IIFT_Moyen
C-114,Dame-Marie,Anse-d'Hainault,HT0822,0.7907913978616086,2.949750603607621,-0.5729439571983735,-0.100798544503626,-1.064892595791929,0.6661075584722344,2,1,IIFT_Moyen
C-115,Les Irois,Anse-d'Hainault,HT0823,-0.6753108672172856,3.174824359226743,-0.2727866056862674,-0.1075130086490956,-1.318367277375645,0.1729181752273346,2,1,IIFT_Moyen
C-116,Corail,Corail,HT0831,-2.557058352137801,-0.946681353148938,-0.1785744428576314,-1.392741817842147,-0.1177182131757609,-1.214207768047136,0,2,IIFT_Très_faible
C-117,Roseaux,Corail,HT0832,-2.6097637571827166,-1.6272028287608475,0.7895335862298843,-2.784503374838004,1.7470875570955475,0.0673682066551004,0,2,IIFT_Très_faible
C-118,Beaumont,Corail,HT0833,-1.5111407543350397,-1.7143281793691385,0.4605399484473497,-0.3007637020576321,-0.6028252651785218,0.5145094843975072,0,2,IIFT_Très_faible
C-119,Pestel,Corail,HT0834,-2.0745339215238143,-1.485092784120355,1.5677576514809566,1.494494979704794,-0.8013456768904336,-0.132990006858488,0,2,IIFT_Très_faible
C-120,Port-de-Paix,Port-de-Paix,HT0911,5.521576188630449,-0.2018442206181689,0.7431864680480417,0.4063718236880893,-0.408692957938046,0.5800051127059067,1,0,IIFT_Extrême
C-121,La Tortue,Port-de-Paix,HT0912,-1.5768039126370748,-0.3400521087371426,-0.2340066110208089,-1.5143128782808677,-0.2517729542731983,0.5615002593650287,0,2,IIFT_Très_faible
C-122,Bassin-Bleu,Port-de-Paix,HT0913,-1.9676552933563112,-0.6579904296870576,-0.0743625819920253,-0.3025528390470329,1.741660576950005,1.431987786926364,0,2,IIFT_Très_faible
C-123,Chansolme,Port-de-Paix,HT0914,-2.888028786288873,-0.8911827122208178,-2.414733904276136,-0.6025099086900773,-0.0878305168188436,0.5437604187218036,0,2,IIFT_Très_faible
C-124,Saint-Louis-du-Nord,Saint-Louis-du-Nord,HT0921,1.5633225437614309,0.8734113792839635,-0.964013827207073,1.273244329670151,-0.4977832622647328,1.1130475198876135,2,1,IIFT_Moyen
C-125,Anse-à-Foleur,Saint-Louis-du-Nord,HT0922,-2.2905223799708576,0.063796398291338,-2.015876172863826,-0.3783894122583769,-1.2472264069513015,1.048734067672456,0,2,IIFT_Très_faible
C-126,Môle-Saint-Nicolas,Môle-Saint-Nicolas,HT0931,-1.6656920312152923,0.007647380257837,0.5296123298723857,1.08330445310893,-1.4471798065582775,1.2491336347192423,0,2,IIFT_Très_faible
C-127,Baie-de-Henne,Môle-Saint-Nicolas,HT0932,-2.3964620035068847,-0.7241665897373802,0.759599834068029,0.4958873164820006,0.385426915957152,1.1810869373802513,0,2,IIFT_Très_faible
C-128,Bombardopolis,Môle-Saint-Nicolas,HT0933,-2.9101944912255377,-1.098549548537476,0.6687356775456271,0.2755513945409212,-0.1578378277751957,-0.0720115846572208,0,2,IIFT_Très_faible
C-129,Jean-Rabel,Môle-Saint-Nicolas,HT0934,-0.075461858170075,-2.640495816703884,1.877559499129008,2.032846276389401,-1.019827493533089,1.2143205028749162,0,2,IIFT_Très_faible
C-130,Miragoâne,Miragoâne,HT1011,3.408305273006641,1.470115202029532,1.2116531271963846,-0.2587719425689945,0.693832741209487,0.1334304338249172,2,0,IIFT_Moyen
C-131,Petite-Rivière-de-Nippes,Miragoâne,HT1012,-0.4534258378831998,-0.5701799236639837,-0.0672590794831329,-0.4136585835902888,-1.6648331855303116,-0.792435857243779,0,2,IIFT_Très_faible
C-132,Fonds-des-Nègres,Miragoâne,HT1013,0.4755286557601107,-1.802928491986324,0.0497906120477272,-0.8404534265715526,-0.9257582767713308,0.5193446551827405,0,2,IIFT_Très_faible
C-133,Paillant,Miragoâne,HT1014,0.254251584972897,-2.016492305136991,-0.7428257873407785,-1.9986448707645137,-1.4558057970454474,0.6234777910603745,0,2,IIFT_Très_faible
C-134,Anse-à-Veau,Anse-à-Veau,HT1021,-2.331425429578198,-1.6378305068666452,-0.58744818545679,-1.5524272860038697,1.3467463022504615,-3.2301934388128366,0,2,IIFT_Très_faible
C-135,Petit-Trou-de-Nippes,Anse-à-Veau,HT1022,-0.0871474366890023,2.336673673284715,0.4947473839674598,-0.4044351427869252,1.2143888223058266,-2.073793777696997,2,1,IIFT_Moyen
C-136,L'Asile,Anse-à-Veau,HT1023,-0.9416831713424364,-2.548324381931158,-0.0761862147940626,-0.8357531755026878,-0.0405624026193883,-1.3916948630844517,0,2,IIFT_Très_faible
C-137,Arnaud,Anse-à-Veau,HT1024,-2.4906294139290743,-0.758048184654233,-0.4239244557117997,-0.3900234930201972,-0.1834142683575855,-1.8203924158735711,0,2,IIFT_Très_faible
C-138,Plaisance-du-Sud,Anse-à-Veau,HT1025,-2.962727827039396,-0.3123364912423536,-0.4737682623195826,-1.013540632371733,0.7538430255241179,-1.9534330877617916,0,2,IIFT_Très_faible
C-139,Baradères,Baradères,HT1031,-2.419241473015179,-0.6252662547817037,0.1790282099385265,-0.3297405919516774,0.1379095134948139,-1.572014639635363,0,2,IIFT_Très_faible
C-140,Grand-Boucan,Baradères,HT1032,-1.2092183953352065,4.714677175389668,-0.4639065997451361,-1.3803650945715094,0.1343717218323571,-0.8407495878661093,2,1,IIFT_Moyen
